ErrorType,InjectionType,Key,Old Value,New Value,Error Message,SpecMessage,SpecCaught,SpecPlugin,Log Message,Reaction App,Reaction Spec,Pinpoint Spec,Vocab Spec,Pinpoint App,Vocab App,Personify App,LeakInt App,Comment
Typo Error,inject/typo/case/toggle,system/lyrebird/server/hello,builtin,builtiN,Error opening terminal: unknown.,,,,Error opening terminal: unknown.,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/reallocate,system/lyrebird/glcd/KeyMap_F,system/lyrebird/glcd/KeyMap_F,system/lyrebird,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/remove,system/lyrebird/joy/Map_Axis1neg,system/lyrebird/joy/Map_Axis1neg,null,There is no output driver,,,type,"There is no output driver
Critical error while initializing, abort.",DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/insertion,system/lyrebird/curses/Size,20x4,2k0x4,curses: cannot read Size: 2k0x4; using default 20x4,"Key value failed to validate. Reason: Not a valid size declaration. Examples: 20x4, 19x3, 40x150",X,validation,"curses: cannot read Size: 2k0x4; using default 20x4
Error opening terminal: unknown.",GOOD,GOOD,PARTLY,GOOD,PARTLY,GOOD,BAD,GOOD,
Limit Error,inject/limit/min,system/lyrebird/picolcd/LircFlushThreshold,10000,1000,,,,validation,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Domain Error,inject/domain,system/lyrebird/CFontzPacket/Device,/tmp/fakeDriver,eth0,CFontzPacket: open(eth0) failed (No such file or directory),Given path 'eth0' is not absolute,X,path,"CFontzPacket: open(eth0) failed (No such file or directory)
Driver [CFontzPacket] init failed, return code -1
Could not load driver CFontzPacket
There is no output driver
Critical error while initializing, abort.",BAD,BAD,NONE,NONE,NONE,NONE,NONE,NONE,
Limit Error,inject/limit/min,system/lyrebird/CFontz/Brightness,1000,0,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/remove,system/lyrebird/picolcd/LircFlushThreshold,system/lyrebird/picolcd/LircFlushThreshold,null,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Limit Error,inject/limit/max,system/lyrebird/CFontz/OffBrightness,0,1000,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/transposition,system/lyrebird/CFontz/NewFirmware,no,on,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Typo Error,inject/typo/transposition,system/lyrebird/CwLnx/KeyMap_A,Up,pU,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/reallocate,system/lyrebird/imonlcd/OnExit,system/lyrebird/imonlcd/OnExit,system/lyrebird,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Semantic Error,inject/semantic,system/lyrebird/EyeboxOne/Size,20x4,20 * 4,Invalid character '*' on line 333 of /tmp/lcdd-tmp.conf,"Key value failed to validate. Reason: Not a valid size declaration. Examples: 20x4, 19x3, 40x150",X,validation,"Invalid character '*' on line 333 of /tmp/lcdd-tmp.conf
Could not read config file: /tmp/lcdd-tmp.conf
Critical error while processing settings, abort.",GOOD,GOOD,PARTLY,GOOD,GOOD,GOOD,BAD,GOOD,
Typo Error,inject/typo/change/char,system/lyrebird/MtxOrb/KeyMap_E,Enter,EnVer,MtxOrb: failed to configure port (Inappropriate ioctl for device),,,,"MtxOrb: failed to configure port (Inappropriate ioctl for device)
Driver [MtxOrb] init failed, return code -1
Could not load driver MtxOrb
There is no output driver
Critical error while initializing, abort.",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Semantic Error,inject/semantic,system/lyrebird/glcd/KeyMap_E,(null),Alt+F,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Typo Error,inject/typo/deletion,system/lyrebird/sed1520/UseHardReset,no,n,,The value 'n' of key 'system/lyrebird/sed1520/system\/temporarySpec' could not be normalized (type is 'boolean'),X,type,,NONE,GOOD,GOOD,BAD,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/remove,system/lyrebird/picolcd/KeyTimeout,system/lyrebird/picolcd/KeyTimeout,null,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/change/char,system/lyrebird/hd44780/Backlight,yes,Nes,,"The type 'enum' failed to match for 'system/lyrebird/hd44780/system\/temporarySpec' with string: 'Nes'
Allowed values: 'none' 'external' 'internal' 'internalCmds'",X,type,,NONE,GOOD,GOOD,GOOD,NONE,NONE,NONE,NONE,BUG
Semantic Error,inject/semantic,system/lyrebird/EyeboxOne/UpKey,A,	,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/remove,system/lyrebird/NoritakeVFD/Reboot,system/lyrebird/NoritakeVFD/Reboot,null,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/duplicate,system/lyrebird/hd44780/KeyMatrix_4_3,system/lyrebird/hd44780/KeyMatrix_4_3,system/lyrebird/imon,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NO-BUG! (self written parser bug)
Structure Error,inject/structure/section/remove,system/lyrebird/lirc/lircrc,system/lyrebird/lirc/lircrc,null,lirc: Could not connect to lircd,,,path,"lirc: Could not connect to lircd
Driver [lirc] init failed, return code -1
Could not load driver lirc
There is no output driver
Critical error while initializing, abort.",DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Semantic Error,inject/semantic,system/lyrebird/imonlcd/Size,(null),20 / 4,Invalid character '/' on line 750 of /tmp/lcdd-tmp.conf,"Key value failed to validate. Reason: Not a valid size declaration. Examples: 20x4, 19x3, 40x150",X,validation,"Invalid character '/' on line 750 of /tmp/lcdd-tmp.conf
Could not read config file: /tmp/lcdd-tmp.conf
Critical error while processing settings, abort.",GOOD,GOOD,PARTLY,GOOD,GOOD,GOOD,BAD,GOOD,
Typo Error,inject/typo/deletion,system/lyrebird/NoritakeVFD/Parity,0,,,The type 'unsigned_long' failed to match for 'system/lyrebird/NoritakeVFD/system\/temporarySpec' with string '',X,type,,NONE,GOOD,GOOD,GOOD,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/remove,system/lyrebird/CwLnx/KeyMap_F,system/lyrebird/CwLnx/KeyMap_F,null,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/remove,system/lyrebird/server/goodbye,system/lyrebird/server/goodbye,null,Error opening terminal: unknown.,,,type,Error opening terminal: unknown.,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Semantic Error,inject/semantic,system/lyrebird/IOWarrior/Size,20x4,20 / 4,Invalid character '/' on line 697 of /tmp/lcdd-tmp.conf,"Key value failed to validate. Reason: Not a valid size declaration. Examples: 20x4, 19x3, 40x150",X,validation,"Invalid character '/' on line 697 of /tmp/lcdd-tmp.conf
Could not read config file: /tmp/lcdd-tmp.conf
Critical error while processing settings, abort.",GOOD,GOOD,PARTLY,GOOD,GOOD,GOOD,BAD,GOOD,
Typo Error,inject/typo/insertion,system/lyrebird/ea65/Brightness,500,50v0,,The type 'unsigned_short' failed to match for 'system/lyrebird/ea65/system\/temporarySpec' with string '50v0',X,type,,NONE,GOOD,GOOD,GOOD,NONE,NONE,NONE,NONE,double checked (indeed nothing happens despite code is there!)
Structure Error,inject/structure/section/remove,system/lyrebird/EyeboxOne/Backlight,system/lyrebird/EyeboxOne/Backlight,null,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Limit Error,inject/limit/min,system/lyrebird/CFontzPacket/OffBrightness,50,0,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Domain Error,inject/domain,system/lyrebird/glcd/x11_BacklightColor,(null),"0,100,500",,"Key value failed to validate. Reason: Colors are in RRGGBB format prefixed with ""0x""",X,validation,,NONE,GOOD,PARTLY,GOOD,NONE,NONE,NONE,NONE,
Semantic Error,inject/semantic,system/lyrebird/text/Size,20x4,20 * 4,Invalid character '*' on line 1356 of /tmp/lcdd-tmp.conf,"Key value failed to validate. Reason: Not a valid size declaration. Examples: 20x4, 19x3, 40x150",X,validation,"Invalid character '*' on line 1356 of /tmp/lcdd-tmp.conf
Could not read config file: /tmp/lcdd-tmp.conf
Critical error while processing settings, abort.",GOOD,GOOD,PARTLY,GOOD,GOOD,GOOD,BAD,GOOD,
Structure Error,inject/structure/section/reallocate,system/lyrebird/picolcd/LircTime_us,system/lyrebird/picolcd/LircTime_us,system/lyrebird,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/duplicate,system/lyrebird/ula200/KeyMap_C,system/lyrebird/ula200/KeyMap_C,system/lyrebird,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NONE,NONE,NONE,NONE,BUG! (self written parser bug)
Structure Error,inject/structure/section/remove,system/lyrebird/menu/DownKey,system/lyrebird/menu/DownKey,null,Error opening terminal: unknown.,,,type,Error opening terminal: unknown.,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Semantic Error,inject/semantic,system/lyrebird/picolcd/Keylights,on,true,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Elektra normalization
Typo Error,inject/typo/deletion,system/lyrebird/server/Heartbeat,open,pen,Error opening terminal: unknown.,"The type 'enum' failed to match for 'system/lyrebird/server/system\/temporarySpec' with string: 'pen'
Allowed values: 'off' 'on' 'open'",X,type,Error opening terminal: unknown.,NONE,GOOD,GOOD,GOOD,NONE,NONE,NONE,NONE,
Typo Error,inject/typo/insertion,system/lyrebird/picolcd/Key5Light,on,ony,,The value 'ony' of key 'system/lyrebird/picolcd/system\/temporarySpec' could not be normalized (type is 'boolean'),X,type,,NONE,GOOD,GOOD,BAD,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/remove,system/lyrebird/glcd/KeyMap_D,system/lyrebird/glcd/KeyMap_D,null,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/transposition,system/lyrebird/lcdm001/PauseKey,LeftKey,LefteKy,lcdm001: invalid config setting for PauseKey; using default DownKey,,,,lcdm001: invalid config setting for PauseKey; using default DownKey,GOOD,NONE,NONE,NONE,PARTLY,GOOD,BAD,GOOD,
Domain Error,inject/domain,system/lyrebird/vlsys_m428/Device,/tmp/fakeDriver,eth0,vlsys_m428: could not open eth0 (No such file or directory),Given path 'eth0' is not absolute,X,path,"vlsys_m428: could not open eth0 (No such file or directory)
Driver [vlsys_m428] init failed, return code -1
Could not load driver vlsys_m428
There is no output driver
Critical error while initializing, abort.",BAD,BAD,NONE,NONE,NONE,NONE,NONE,NONE,
Typo Error,inject/typo/change/char,system/lyrebird/hd44780/Device,/tmp/fakeDriver,/tmV/fakeDriver,,"Could not stat file, message: Unknown error from key: system/lyrebird/hd44780/system\/temporarySpec with path: /tmV/fakeDriver",X,path,,NONE,GOOD,GOOD,BAD,NONE,NONE,NONE,NONE,BUG
Structure Error,inject/structure/section/reallocate,system/lyrebird/hd44780/ConnectionType,system/lyrebird/hd44780/ConnectionType,system/lyrebird/lcdm001/BackKey,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Limit Error,inject/limit/min,system/lyrebird/glcd/Size,(null),1x1,Driver [glcd] has invalid display size,,,,Driver [glcd] has invalid display size,BAD,DEFAULT,DEFAULT,DEFAULT,NONE,NONE,NONE,NONE,BUG
Structure Error,inject/structure/section/reallocate,system/lyrebird/serialVFD/ISO_8859_1,system/lyrebird/serialVFD/ISO_8859_1,system/lyrebird/bayrad/Device,serialVFD: The number of Custom-Characters must be between 0 and 99. Using default,,,type,serialVFD: The number of Custom-Characters must be between 0 and 99. Using default,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/transposition,system/lyrebird/CFontzPacket/Size,20x4,02x4,,"Key value failed to validate. Reason: Not a valid size declaration. Examples: 20x4, 19x3, 40x150",X,validation,,NONE,GOOD,PARTLY,GOOD,NONE,NONE,NONE,NONE,
Limit Error,inject/limit/max,system/lyrebird/MtxOrb/Brightness,1000,1000,MtxOrb: failed to configure port (Inappropriate ioctl for device),,,,"MtxOrb: failed to configure port (Inappropriate ioctl for device)
Driver [MtxOrb] init failed, return code -1
Could not load driver MtxOrb
There is no output driver
Critical error while initializing, abort.",DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/duplicate,system/lyrebird/server/ReportToSyslog,system/lyrebird/server/ReportToSyslog,system/lyrebird,Error opening terminal: unknown.,,,type,Error opening terminal: unknown.,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NONE,NONE,NONE,NONE,BUG! (self written parser bug)
Typo Error,inject/typo/case/toggle,system/lyrebird/picolcd/LinkLights,off,Off,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Semantic Error,inject/semantic,system/lyrebird/glcd/x11_BacklightColor,(null),0x80ff80,,"Key value failed to validate. Reason: Colors are in RRGGBB format prefixed with ""0x""",X,validation,,NONE,GOOD,PARTLY,GOOD,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/duplicate,system/lyrebird/menu/MenuKey,system/lyrebird/menu/MenuKey,system/lyrebird/CFontz,Error opening terminal: unknown.,,,,Error opening terminal: unknown.,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NO-BUG! (self written parser bug)
Typo Error,inject/typo/insertion,system/lyrebird/CFontz/NewFirmware,no,noa,,The value 'noa' of key 'system/lyrebird/CFontz/system\/temporarySpec' could not be normalized (type is 'boolean'),X,type,,NONE,GOOD,GOOD,BAD,NONE,NONE,NONE,NONE,
Typo Error,inject/typo/space,system/lyrebird/IOWarrior/Size,20x4,' 20x4 ',,"Key value failed to validate. Reason: Not a valid size declaration. Examples: 20x4, 19x3, 40x150",X,validation,,DEFAULT,GOOD,PARTLY,GOOD,NONE,NONE,NONE,NONE,
Typo Error,inject/typo/transposition,system/lyrebird/CFontz/Brightness,1000,0010,,The type 'unsigned_short' failed to match for 'system/lyrebird/CFontz/system\/temporarySpec' with string '0010',X,type,,NONE,GOOD,GOOD,GOOD,NONE,NONE,NONE,NONE,
Semantic Error,inject/semantic,system/lyrebird/glcd/fontHasIcons,(null),off,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Elektra normalization
Structure Error,inject/structure/section/duplicate,system/lyrebird/server/DriverPath,system/lyrebird/server/DriverPath,system/lyrebird/imon,Error opening terminal: unknown.,,,,Error opening terminal: unknown.,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NO-BUG! (self written parser bug)
Resource Error,inject/resource,system/lyrebird/CFontzPacket/Device,/tmp/fakeDriver,/tmp/badPermissions,"CFontzPacket: open(/tmp/badPermissions) failed (Permission denied)
",Validation Semantic: User wespe does not have required permission (rw) on /tmp/badPermissions,X,path,"CFontzPacket: open(/tmp/badPermissions) failed (Permission denied)
Driver [CFontzPacket] init failed, return code -1
Could not load driver CFontzPacket
There is no output driver
Critical error while initializing, abort.",GOOD,GOOD,PARTLY,GOOD,PARTLY,GOOD,BAD,GOOD,
Structure Error,inject/structure/section/duplicate,system/lyrebird/CwLnx/Device,system/lyrebird/CwLnx/Device,system/lyrebird,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NONE,NONE,NONE,NONE,BUG! (self written parser bug)
Limit Error,inject/limit/max,system/lyrebird/hd44780/Contrast,(null),1000,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Domain Error,inject/domain,system/lyrebird/stv5730/Port,0x378,8080,stv5730: no STV5730 hardware found at 0x1F90 ,"Key value failed to validate. Reason: Not a valid port declaration. It should start with 0x, followed by 3 HEX values. eg. 0x3BC",X,validation,"stv5730: no STV5730 hardware found at 0x1F90 
Driver [stv5730] init failed, return code -1
Could not load driver stv5730
There is no output driver
Critical error while initializing, abort.",GOOD,GOOD,PARTLY,GOOD,PARTLY,GOOD,BAD,GOOD,Multiple forms allowed
Structure Error,inject/structure/section/remove,system/lyrebird/tyan/Size,system/lyrebird/tyan/Size,null,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/duplicate,system/lyrebird/vlsys_m428/Device,system/lyrebird/vlsys_m428/Device,system/lyrebird/NoritakeVFD/Reboot,vlsys_m428: could not configure /tmp/fakeDriver (Inappropriate ioctl for device),,,,"vlsys_m428: could not configure /tmp/fakeDriver (Inappropriate ioctl for device)
Driver [vlsys_m428] init failed, return code -1
Could not load driver vlsys_m428
There is no output driver
Critical error while initializing, abort.",DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NO-BUG! (self written parser bug)
Limit Error,inject/limit/max,system/lyrebird/NoritakeVFD/Brightness,1000,1000,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Resource Error,inject/resource,system/lyrebird/sli/Device,/tmp/fakeDriver,/tmp/badPermissions,sli: open(/tmp/badPermissions) failed (Permission denied),"Validation Semantic: User wespe does not have required permission (rw) on /tmp/badPermissions
",X,path,"sli: open(/tmp/badPermissions) failed (Permission denied)
Driver [sli] init failed, return code -1
Could not load driver sli
There is no output driver
Critical error while initializing, abort.",GOOD,GOOD,PARTLY,GOOD,PARTLY,GOOD,BAD,GOOD,
Typo Error,inject/typo/insertion,system/lyrebird/hd44780/FontBank,0,60,,"The type 'enum' failed to match for 'system/lyrebird/hd44780/system\/temporarySpec' with string: '60'
Allowed values: '0' '1' '2' '3'",X,type,,NONE,GOOD,GOOD,GOOD,NONE,NONE,NONE,NONE,BUG
Typo Error,inject/typo/change/char,system/lyrebird/CFontzPacket/Model,633,63s,,"The type 'enum' failed to match for 'system/lyrebird/CFontzPacket/system\/temporarySpec' with string: '63s'
Allowed values: '533' '631' '633' '635'",X,type,,NONE,GOOD,GOOD,GOOD,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/duplicate,system/lyrebird/t6963/Size,system/lyrebird/t6963/Size,system/lyrebird/sed1520,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NO-BUG! (self written parser bug)
Semantic Error,inject/semantic,system/lyrebird/lcdm001/MainMenuKey,RightKey,tab,lcdm001: invalid config setting for MainMenuKey; using default UpKey,,,,lcdm001: invalid config setting for MainMenuKey; using default UpKey,GOOD,NONE,NONE,NONE,PARTLY,GOOD,BAD,GOOD,
Structure Error,inject/structure/section/remove,system/lyrebird/SureElec/Brightness,system/lyrebird/SureElec/Brightness,null,SureElec: failed to configure port (Inappropriate ioctl for device),,,range,"SureElec: failed to configure port (Inappropriate ioctl for device)
Driver [SureElec] init failed, return code -1
Could not load driver SureElec
There is no output driver
Critical error while initializing, abort.",DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/space,system/lyrebird/CwLnx/KeyMap_D,Right,' Right    ',,,,,,DEFAULT,NONE,NONE,NONE,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/transposition,system/lyrebird/tyan/Size,16x2,26x1,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/insertion,system/lyrebird/server/ReportToSyslog,no,nHo,Error opening terminal: unknown.,The value 'nHo' of key 'system/lyrebird/server/system\/temporarySpec' could not be normalized (type is 'boolean'),X,type,Error opening terminal: unknown.,NONE,GOOD,GOOD,BAD,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/duplicate,system/lyrebird/server/FrameInterval,system/lyrebird/server/FrameInterval,system/lyrebird/rawserial,Error opening terminal: unknown.,,,type,Error opening terminal: unknown.,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NO-BUG! (self written parser bug)
Structure Error,inject/structure/section/remove,system/lyrebird/hd44780/DelayMult,system/lyrebird/hd44780/DelayMult,null,,,,range,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/duplicate,system/lyrebird/glcd/x11_Border,system/lyrebird/glcd/x11_Border,system/lyrebird,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NONE,NONE,NONE,NONE,BUG! (self written parser bug)
Typo Error,inject/typo/case/toggle,system/lyrebird/CwLnx/KeyMap_E,Enter,EntEr,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Semantic Error,inject/semantic,system/lyrebird/picolcd/Key1Light,on,1,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Elektra normalization shit
Semantic Error,inject/semantic,system/lyrebird/MtxOrb/KeyMap_E,(null),	,MtxOrb: failed to configure port (Inappropriate ioctl for device),,,,"MtxOrb: failed to configure port (Inappropriate ioctl for device)
Driver [MtxOrb] init failed, return code -1
Could not load driver MtxOrb
There is no output driver
Critical error while initializing, abort.",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Limit Error,inject/limit/max,system/lyrebird/serialVFD/OffBrightness,0,1000,serialVFD: The number of Custom-Characters must be between 0 and 99. Using default,,,,serialVFD: The number of Custom-Characters must be between 0 and 99. Using default,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/reallocate,system/lyrebird/MD8800/Brightness,system/lyrebird/MD8800/Brightness,system/lyrebird/glcdlib,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/transposition,system/lyrebird/hd44780/DelayBus,true,treu,,The value 'treu' of key 'system/lyrebird/hd44780/system\/temporarySpec' could not be normalized (type is 'boolean'),X,type,,NONE,GOOD,GOOD,BAD,NONE,NONE,NONE,NONE,BUG
Semantic Error,inject/semantic,system/lyrebird/glcd/CellSize,(null),20 * 4,Invalid character '*' on line 424 of /tmp/lcdd-tmp.conf,"Key value failed to validate. Reason: Not a valid size declaration. Examples: 20x4, 19x3, 40x150",X,validation,"Invalid character '*' on line 424 of /tmp/lcdd-tmp.conf
Could not read config file: /tmp/lcdd-tmp.conf
Critical error while processing settings, abort.",GOOD,GOOD,PARTLY,GOOD,GOOD,GOOD,BAD,GOOD,
Typo Error,inject/typo/deletion,system/lyrebird/serialPOS/Device,/tmp/fakeDriver,/tmpfakeDriver,serialPOS: open(/tmpfakeDriver) failed (No such file or directory),"Could not stat file, message: Unknown error from key: system/lyrebird/serialPOS/system\/temporarySpec with path: /tmpfakeDriver",X,path,"serialPOS: open(/tmpfakeDriver) failed (No such file or directory)
Driver [serialPOS] init failed, return code -1
Could not load driver serialPOS
There is no output driver
Critical error while initializing, abort.",GOOD,GOOD,GOOD,BAD,PARTLY,GOOD,BAD,GOOD,
Semantic Error,inject/semantic,system/lyrebird/NoritakeVFD/Reboot,no,1,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Elektra normalization
Typo Error,inject/typo/insertion,system/lyrebird/lb216/Speed,9600,960v0,,"Value '960v0' not within range 2400, 9600",X,range,,NONE,GOOD,PARTLY,GOOD,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/remove,system/lyrebird/imonlcd/Size,system/lyrebird/imonlcd/Size,null,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/insertion,system/lyrebird/CFontzPacket/Brightness,1000,J1000,,The type 'unsigned_short' failed to match for 'system/lyrebird/CFontzPacket/system\/temporarySpec' with string 'J1000',X,type,,NONE,GOOD,GOOD,GOOD,NONE,NONE,NONE,NONE,
Semantic Error,inject/semantic,system/lyrebird/curses/Background,cyan,"0,100,500",Error opening terminal: unknown.,"The type 'enum' failed to match for 'system/lyrebird/curses/system\/temporarySpec' with string: '0,100,500'
Allowed values: 'red' 'black' 'green' 'yellow' 'blue' 'magenta' 'cyan' 'white'",X,type,Error opening terminal: unknown.,NONE,GOOD,GOOD,GOOD,NONE,NONE,NONE,NONE,BUG
Structure Error,inject/structure/section/reallocate,system/lyrebird/lis/Lastline,system/lyrebird/lis/Lastline,system/lyrebird/CwLnx/Model,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/space,system/lyrebird/server/DriverPath,/usr/lib/x86_64-linux-gnu/lcdproc/,'   /usr/lib/x86_64-linux-gnu/lcdproc/  ',Could not open driver module    /usr/lib/x86_64-linux-gnu/lcdproc/  c:    /usr/lib/x86_64-linux-gnu/lcdproc/  curses.so: cannot open shared object file: No such file or directory,Key value failed to validate. Reason: The path has to contain a backslack (/) at the end,X,validation,"Could not open driver module    /usr/lib/x86_64-linux-gnu/lcdproc/  c:    /usr/lib/x86_64-linux-gnu/lcdproc/  curses.so: cannot open shared object file: No such file or directory
Driver [curses] binding failed
Could not load driver curses
There is no output driver
Critical error while initializing, abort.",GOOD,GOOD,PARTLY,GOOD,PARTLY,GOOD,BAD,GOOD,
Typo Error,inject/typo/deletion,system/lyrebird/hd44780/Lastline,yes,es,,The value 'es' of key 'system/lyrebird/hd44780/system\/temporarySpec' could not be normalized (type is 'boolean'),X,type,,NONE,GOOD,GOOD,BAD,NONE,NONE,NONE,NONE,BUG
Semantic Error,inject/semantic,system/lyrebird/t6963/delayBus,(null),0,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Elektra normalization
Structure Error,inject/structure/section/reallocate,system/lyrebird/vlsys_m428/Device,system/lyrebird/vlsys_m428/Device,system/lyrebird,vlsys_m428: could not open /dev/ttyUSB0 (No such file or directory),,,path,"vlsys_m428: could not open /dev/ttyUSB0 (No such file or directory)
Driver [vlsys_m428] init failed, return code -1
Could not load driver vlsys_m428
There is no output driver
Critical error while initializing, abort.",DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
