ErrorType,InjectionType,Key,Old Value,New Value,Error Message,SpecMessage,SpecCaught,SpecPlugin,Log Message,Reaction App,Reaction Spec,Pinpoint Spec,Vocab Spec,Pinpoint App,Vocab App,Personify App,LeakInt App,Comment
Typo Error,inject/typo/change/char,system/lyrebird/glcd/ConnectionType,t6963,t6966,glcd: unknown ConnectionType: t6966,"The type 'enum' failed to match for 'system/lyrebird/glcd/system\/temporarySpec' with string: 't6966'
Allowed values: 't6963' 'png' 'serdisplib' 'glcd2usb' 'x11' 'picolcdgfx' 'xyz'",X,type,"glcd: unknown ConnectionType: t6966
Driver [glcd] init failed, return code -1
Could not load driver glcd
There is no output driver
Critical error while initializing, abort.",GOOD,GOOD,PARTLY,GOOD,PARTLY,GOOD,BAD,GOOD,
Structure Error,inject/structure/section/remove,system/lyrebird/picolcd/KeyRepeatInterval,system/lyrebird/picolcd/KeyRepeatInterval,null,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/remove,system/lyrebird/CFontzPacket/Model,system/lyrebird/CFontzPacket/Model,null,,,,type,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Semantic Error,inject/semantic,system/lyrebird/MtxOrb/KeyMap_E,(null),Alt+F,MtxOrb: failed to configure port (Inappropriate ioctl for device),,,,"MtxOrb: failed to configure port (Inappropriate ioctl for device)
Driver [MtxOrb] init failed, return code -1
Could not load driver MtxOrb
There is no output driver
Critical error while initializing, abort.",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Limit Error,inject/limit/min,system/lyrebird/hd44780/RefreshDisplay,(null),0,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Typo Error,inject/typo/deletion,system/lyrebird/CwLnx/KeyMap_E,Enter,Entr,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,
Limit Error,inject/limit/max,system/lyrebird/mtc_s16209x/Brightness,255,255,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Domain Error,inject/domain,system/lyrebird/CwLnx/Device,/tmp/fakeDriver,eth0,CwLnx: open(eth0) failed (No such file or directory),Given path 'eth0' is not absolute,X,path,"CwLnx: open(eth0) failed (No such file or directory)
Driver [CwLnx] init failed, return code -1
Could not load driver CwLnx
There is no output driver
Critical error while initializing, abort.",BAD,BAD,NONE,NONE,NONE,NONE,NONE,NONE,
Structure Error,inject/structure/section/duplicate,system/lyrebird/serialVFD/Brightness,system/lyrebird/serialVFD/Brightness,system/lyrebird/vlsys_m428/Device,serialVFD: The number of Custom-Characters must be between 0 and 99. Using default,,,,serialVFD: The number of Custom-Characters must be between 0 and 99. Using default,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NO-BUG! (self written parser bug)
Typo Error,inject/typo/deletion,system/lyrebird/icp_a106/Size,20x2,2x2,,,,,,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
Structure Error,inject/structure/section/duplicate,system/lyrebird/server/hello,system/lyrebird/server/hello,system/lyrebird/xosd,Error opening terminal: unknown.,,,type,Error opening terminal: unknown.,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,NO-BUG! (self written parser bug)
Semantic Error,inject/semantic,system/lyrebird/hd44780/Lastline,(null),on,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,BUG
Semantic Error,inject/semantic,system/lyrebird/MtxOrb/hasAdjustableBacklight,no,1,MtxOrb: failed to configure port (Inappropriate ioctl for device),,,,"MtxOrb: failed to configure port (Inappropriate ioctl for device)
Driver [MtxOrb] init failed, return code -1
Could not load driver MtxOrb
There is no output driver
Critical error while initializing, abort.",NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Elektra normalization
